race_slug,label,distance_km,elevation_gain_m,itra_points,price,currency,gpx_url
cumhurbaskanligi-yari-maratonu,10K,10.0,,,750.0,TRY,
cumhurbaskanligi-yari-maratonu,5K,5.0,,,750.0,TRY,
girne-yari-maratonu,21 KM Yarı Maraton,21.0975,,,2125.0,TRY,
girne-yari-maratonu,10 KM Koşusu,10,,,1600.0,TRY,
girne-yari-maratonu,5 KM Koşusu,5,,,850.0,TRY,
girne-yari-maratonu,3 KM Halk Koşusu,3,,,300.0,TRY,
girne-yari-maratonu,1 KM Çocuk Koşusu,1,,,0.0,TRY,
yalova-gran-fondo,82K,82.0,,,,,https://www.sporlayalova.com/api/rota/5ecce1c3-1518-4cd3-856e-d9b0e98c1441/gpx
yalova-gran-fondo,58K,58,865,,,,https://www.sporlayalova.com/api/rota/9088202d-13a2-4835-ad08-90c4c577adfa/gpx
yalova-gran-fondo,55K,55.0,,,,,
taurus-mountain-race,1400K,1400.0,2026,,,,
cappadocia-ultra-trail,119K,119.0,3730,3,,,https://cappadociaultratrail.com/tr/events/download/4
cappadocia-ultra-trail,63K,63.0,2030,3,,,https://cappadociaultratrail.com/tr/events/download/5
cappadocia-ultra-trail,38K,38.0,1120,3,,,https://cappadociaultratrail.com/tr/events/download/6
cappadocia-ultra-trail,14K,14.0,308,2,,,https://cappadociaultratrail.com/tr/events/download/18
ultra-trail-mount-yun-by-utmb,97K,97.0,4300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1786696186/mount-yun/GPX/2026%20GPX/%E8%BD%A8%E8%BF%B90814/DMY_100_K_c7467625f5.gpx
ultra-trail-mount-yun-by-utmb,48K,48.0,2400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1786696186/mount-yun/GPX/2026%20GPX/%E8%BD%A8%E8%BF%B90814/MMY_50_K_21530e07ed.gpx
ultra-trail-mount-yun-by-utmb,22K,22.0,1300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787102858/mount-yun/GPX/2026%20GPX/%E8%BD%A8%E8%BF%B90814/2025_EMY_20_K0114_CP_c134b1828e.gpx
2-uluslar-arasi-ordu-yari-maratonu,21K,21.0,,,1000.0,TRY,
2-uluslar-arasi-ordu-yari-maratonu,10K,10.0,,,200.0,TRY,
amsterdam-maratonu,42K,42.0,,,,,
bosphorun-quarter-marathon-bebek,10.5K,10.5,,,,,
uluslararasi-corlu-yari-maratonu,21K,21.0,,,600.0,TRY,
uluslararasi-corlu-yari-maratonu,10K,10.0,,,600.0,TRY,
yalova-yuruyen-kosk-kosusu,10K,10.0,,,900.0,TRY,
puglia-by-utmb,145K,145.0,3500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788784964/puglia/100_M_Puglia_2026_2_10e5be38e3.gpx
puglia-by-utmb,85K,85.0,2000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1786532282/puglia/100k_Puglia_2026_501bcc7259.gpx
puglia-by-utmb,50K,50.0,1000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1786532277/puglia/50k_Puglia_2026_a7295efb21.gpx
puglia-by-utmb,35K,35.0,350,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1786532275/puglia/20k_Puglia_2026_5e859fd315.gpx
puglia-by-utmb,10K,10.0,50,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1786532274/puglia/10k_Puglia_2026_1_cb63170b3c.gpx
alanya-triatlonu-turkiye-kupasi-finali-yas-grubu-standart-mesafe,Standart (Olimpik),51.5,,,,,
aquachallenge-marmaris,10K,10.0,,,,,
aquachallenge-marmaris,5K,5.0,,,,,
aquachallenge-marmaris,3K,3.0,,,,,
aquachallenge-marmaris,2K,2.0,,,,,
aquachallenge-marmaris,1K,1.0,,,,,
heliz-kas-yari-maratonu,21K,21.0,,,,,
heliz-kas-yari-maratonu,12K,12.0,,,,,
heliz-kas-yari-maratonu,5K,5.0,,,,,
17-uluslararasi-zeytinburnu-cumhuriyet-kosusu,10K,10.0,,,300.0,TRY,
ankara-zaman-kosusu,1 Saat,,,,2000.0,TRY,
ankara-zaman-kosusu,6 Saat,,,,2750.0,TRY,
ankara-zaman-kosusu,2 Saat,,,,2250.0,TRY,
ankara-zaman-kosusu,4 Saat,,,,2500.0,TRY,
caddebostan-cumhuriyet-kosusu,10K,10,,,,,
frankfurt-maratonu,42K,42.0,,,,,
lykos-yari-maratonu-ve-cumhuriyet-halk-kosusu,21K,21.0,,,400.0,TRY,https://lykosyarimaratonu.com/gpxtcxdata/Lykos_Half_Marathon_21K_Run_Course.gpx
lykos-yari-maratonu-ve-cumhuriyet-halk-kosusu,10K,10.0,,,400.0,TRY,https://lykosyarimaratonu.com/gpxtcxdata/Lykos_Half_Marathon_10K_Run_Course.gpx
lykos-yari-maratonu-ve-cumhuriyet-halk-kosusu,5K,5.0,,,0.0,TRY,https://lykosyarimaratonu.com/gpxtcxdata/Lykos_Half_Marathon_5K_Run_Course.gpx
tarsus-yari-maratonu,21K,21.0,,,,,https://www.mbbspor.org/downloads/a11de581367d45beaf1bad01ab50abc3
veloturk-gran-fondo-cesme,91K,91.0,1025,,,,https://granfondocesme.com/tr/events/download/1
veloturk-gran-fondo-cesme,67K,67.0,787,,,,https://granfondocesme.com/tr/events/download/4
veloturk-gran-fondo-cesme,41K,41.0,382,,,,https://granfondocesme.com/tr/events/download/5
aquachallenge-gocek,10K,10.0,,,,,
ahulex-tm1000,1000K,1003,,,7250.0,TRY,
ahulex-tm1000,500K,496,5520,,5500.0,TRY,
ahulex-tm1000,250K,247,2256,,3250.0,TRY,
kullamannen-by-utmb,173K,173.0,2300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1761590529/kullamannen/GPX%202024/Final_Kullamannen_2025_100_M_v16_5578ac8b21.gpx
kullamannen-by-utmb,108K,108.0,749,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1761590529/kullamannen/GPX%202024/Final_Kullamannen_2025_100km_v4_827f4d1af1.gpx
kullamannen-by-utmb,53K,53.0,727,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1761590528/kullamannen/GPX%202024/Final_Kullamannen_2025_50km_v4_16c334a819.gpx
kullamannen-by-utmb,22K,22.0,96,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1761590532/kullamannen/GPX%202024/Final_Kullamannen_2025_20km_v11_44a8a1e709.gpx
mallorca-by-utmb,138K,138.0,5350,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1758093232/mallorca/RECORREGUTS%20DEFINITIUS/REC2025/100_M_ESTELLENCS_SDT_v3_47e378f05d.gpx
mallorca-by-utmb,104K,104.0,3740,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1758093181/mallorca/RECORREGUTS%20DEFINITIUS/REC2025/100_K_ESTELLENCS_CPS_v3_1060b4403c.gpx
mallorca-by-utmb,56K,56.0,2450,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1746008234/mallorca/RECORREGUTS%20DEFINITIUS/REC2025/50_K_tres_mils_sortida_Selva_dc618eed24.gpx
mallorca-by-utmb,26K,26.0,1000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1730553418/mallorca/RECORREGUTS%20DEFINITIUS/UTMB_20_K_CDA_V5_0499062109.gpx
fethiye-ultra,50K,50.0,,,,,
fethiye-ultra,25K,25.0,,,2250.0,TRY,
fethiye-ultra,10K,10.0,,,2000.0,TRY,
fethiye-ultra,4 Saat,,,,2500.0,TRY,
fethiye-ultra,6 Saat,,,,2750.0,TRY,
ironman-70-3,70.3,113.1,,,,,
istanbul-maratonu,42K,42.0,,,,,
istanbul-maratonu,15K,15.0,,,,,
new-york-maratonu,42K,42.0,,,,,
ultra-trail-shudao-by-utmb,104K,104.0,3800,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787022668/shudao/%E8%BD%A8%E8%BF%B9/20260818%E8%BD%A8%E8%BF%B9/20260818_c6e3f6a95d.gpx
ultra-trail-shudao-by-utmb,70.5K,70.5,3100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1780626874/shudao/%E8%BD%A8%E8%BF%B9/20260605%E8%BD%A8%E8%BF%B9%E6%9B%B4%E6%96%B0/CSD_8745ec56c6.gpx
ultra-trail-shudao-by-utmb,42K,42.0,1900,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1772504982/shudao/%E8%BD%A8%E8%BF%B9/clean_gpx/Shudao_42k_1900_849ce2d8ee.gpx
ultra-trail-shudao-by-utmb,21.5K,21.5,900,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1772504981/shudao/%E8%BD%A8%E8%BF%B9/clean_gpx/Shudao_22k_900_c8a925d2cc.gpx
varda-ultra-trail,62K,62.0,,,,,https://www.vardaultratrail.com/wp-content/uploads/2025/10/Varda-Ultra-62k-2025.gpx
varda-ultra-trail,59K,59.0,2985,3,1900.0,TRY,
varda-ultra-trail,27K,27.0,1050,1,1500.0,TRY,https://www.vardaultratrail.com/wp-content/uploads/2025/10/Train-27k-2025.gpx
varda-ultra-trail,14K,14.0,700,,1200.0,TRY,https://www.vardaultratrail.com/wp-content/uploads/2025/10/Bridge-14k-2025.gpx
ata-dan-ana-ya-saygi-kosusu,4K,4.0,,,,,
atina-maratonu,42K,42.0,,,,,
cappadocia-marathon,Marathon,42.195,,,,,
cappadocia-marathon,Half Marathon,21.0975,,,,,
cappadocia-marathon,10K,10,,,,,
fethiye-likyari-maratonu,21K,21.0,,,,,
fethiye-likyari-maratonu,10K,10.0,,,,,
uci-gran-fondo-antalya,105K,105,658,,,,https://ucigfantalya.com/storage/courses/gpx/01KRJZZJ3R8D5EA93JNGSC1SFN.gpx
uci-gran-fondo-antalya,93K,93.0,,,,,
uci-gran-fondo-antalya,73K,73,285,,,,https://ucigfantalya.com/storage/courses/gpx/01KVG269QD5JYNTE5XDYEFA42X.gpx
uci-gran-fondo-antalya,60K,60.0,,,,,
uci-gran-fondo-antalya,22K,22.0,,,,,
uci-gran-fondo-antalya,20K Zamana Karşı,20,8,,,,
antalya-canyon-ultra,70K Antalya Termessos Ultra,70,1935,3,4500.0,TRY,https://www.antalyacanyontrail.com/routes/act70-termessos-ultra.gpx
antalya-canyon-ultra,45K Antalya Goat Ultra,45,1037,2,3750.0,TRY,https://www.antalyacanyontrail.com/routes/act45-canyon-ultra.gpx
antalya-canyon-ultra,33K Alageyik Trail,33,704,1,3350.0,TRY,https://www.antalyacanyontrail.com/routes/act30-alageyik-parkuru.gpx
antalya-canyon-ultra,13K Güver Cliff Trail,13,100,,2450.0,TRY,https://www.antalyacanyontrail.com/routes/act12-guver-cliff-trail.gpx
antalya-canyon-ultra,7K My Pace Run,7,38,,1850.0,TRY,https://www.antalyacanyontrail.com/routes/act05-pace-run.gpx
hoka-pacific-trails-california-by-utmb,51K,51.0,1550,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1752079190/pacifictrails/2025/GPX/2025_Pacific_Trails_California_by_UTMB_50k_Course_Only_e506a06723.gpx
hoka-pacific-trails-california-by-utmb,25K,25.0,650,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1752079221/pacifictrails/2025/GPX/2025_Pacific_Trails_California_by_UTMB_25k_Course_876c9ebeda.gpx
translantau-by-utmb,104K,104.0,4500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1775921428/translantau/Races/TL%202026/TL_104k_4600_1004_2de34f807b.gpx
translantau-by-utmb,45K,45.0,2500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1775787207/translantau/Races/TL%202026/TL_45k_2500_4b40c17acb.gpx
translantau-by-utmb,27K,27.0,1100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1774020140/translantau/Races/TL%202026/TL_27k_1100_19_03_1_e0185671d2.gpx
translantau-by-utmb,15K,15.0,500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1774020140/translantau/Races/TL%202026/TL_15k_550_19_03_1_538a1a8a29.gpx
latmos-ultra,45K,45.0,2161,,100.0,EUR,https://www.latmosultra.org/wp-content/uploads/2026/04/Latmos-Ultra-42-km-Kasim-2024-1.gpx
latmos-ultra,26K,26.0,1378,,85.0,EUR,https://www.latmosultra.org/wp-content/uploads/2026/04/Latmos-Ultra-26-km-2024.gpx
latmos-ultra,17K,17.0,1313,,70.0,EUR,https://www.latmosultra.org/wp-content/uploads/2026/04/LST17K-2.gpx
latmos-ultra,8K,8.0,77,,50.0,EUR,https://www.latmosultra.org/wp-content/uploads/2026/04/Latmos-Ultra-10km-1-1.gpx
sagalassos-sky-ultra,Sky Marathon,42.3,2095,2,4000.0,TRY,
sagalassos-sky-ultra,Sky Race,26.9,1360,1,3500.0,TRY,
sagalassos-sky-ultra,Trail Run,17.4,530,,2250.0,TRY,
sagalassos-sky-ultra,Fun Run,5.2,30,,1750.0,TRY,
sagalassos-sky-ultra,Vertical Kilometre,4.95,1075,,2000.0,TRY,
sagalassos-sky-ultra,Kids Run,2,10,,750.0,TRY,
antalya-zaman-kosusu,6 Saat,,,,2750.0,TRY,
antalya-zaman-kosusu,2 Saat,,,,2250.0,TRY,
antalya-zaman-kosusu,1 Saat,,,,2000.0,TRY,
antalya-zaman-kosusu,4 Saat,,,,2500.0,TRY,
oyak-65-yil-ankara-kosusu,10K,10,,,900.0,TRY,
oyak-65-yil-ankara-kosusu,5K,5,,,900.0,TRY,
soli-10k,10K,10.0,,,,,
patagonia-bariloche-by-utmb,132K,132.0,6516,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1761398705/bariloche/BARILOCHE%202025/DISTANCIAS/GPX/FFFF_130k_Bariloche_by_UTMB_a4fb584874.gpx
patagonia-bariloche-by-utmb,86K,86.0,4725,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1761398703/bariloche/BARILOCHE%202025/DISTANCIAS/GPX/FFFF_80k_Bariloche_by_UTMB_c7ec151da6.gpx
patagonia-bariloche-by-utmb,57.5K,57.5,3000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1763496352/bariloche/55_K_BARILOCHE_BY_UTMB_FINAL_6be0fffb62.gpx
patagonia-bariloche-by-utmb,36K,36.0,1421,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1761398695/bariloche/BARILOCHE%202025/DISTANCIAS/GPX/FFFF_33k_Bariloche_by_UTMB_53bd9f7315.gpx
patagonia-bariloche-by-utmb,22K,22.0,800,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1761400001/bariloche/BARILOCHE%202025/DISTANCIAS/GPX/FFFF_22k_Bariloche_by_UTMB_c48d40144e.gpx
patagonia-bariloche-by-utmb,12.7K,12.7,500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1761398688/bariloche/BARILOCHE%202025/DISTANCIAS/GPX/FFFF_12k_Bariloche_by_UTMB_60aae4cf32.gpx
catalkaya-ultra-trail,74K,74.0,3300,2,5100.0,TRY,https://catalkayaultra.com/gpx/sabir-yolu.gpx
catalkaya-ultra-trail,45K,45.0,2200,,4300.0,TRY,https://catalkayaultra.com/gpx/yukselis-yolu.gpx
catalkaya-ultra-trail,29K,29.0,1600,,3900.0,TRY,https://catalkayaultra.com/gpx/komando-yolu.gpx
catalkaya-ultra-trail,13K,13.0,,,2800.0,TRY,https://catalkayaultra.com/gpx/agamemnon-yolu.gpx
catalkaya-ultra-trail,5K,5.0,300,,2000.0,TRY,https://catalkayaultra.com/gpx/yesil-yol.gpx
8-gazi-yari-maratonu,21K,21.0,,,750.0,TRY,
8-gazi-yari-maratonu,10K,10.0,,,750.0,TRY,
cenedag-ultra-trail,57K,57.0,,,,,https://www.cenedagultratrail.org/gpx-dosyalari/cenedag-ultra-trail-57K.gpx
cenedag-ultra-trail,21K,21.0,,,,,https://www.cenedagultratrail.org/gpx-dosyalari/cenedag-medium-trail-21k.gpx
cenedag-ultra-trail,14K,14.0,,,,,https://www.cenedagultratrail.org/gpx-dosyalari/cenedag-short-trail-14k.gpx
cenedag-ultra-trail,8K,8.0,,,,,https://www.cenedagultratrail.org/gpx-dosyalari/cinarlidere-parkuru-8k.gpx
dragos,10K,10.0,,,1500.0,TRY,
dragos,5K,5.0,,,1500.0,TRY,
kesifrun-nilufer,10K,10.0,,,1500.0,TRY,
ultra-trail-kosciuszko-by-utmb,161K,161.0,5131,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1783553059/kosciuszko/Races/2026%20Race%20Alignment%20GPX/2026_UTK_by_UTMB_Miler_RACE_ALINGMENT_08072026_03898b768f.gpx
ultra-trail-kosciuszko-by-utmb,106K,106.0,3260,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1783554711/kosciuszko/Races/2026%20Race%20Alignment%20GPX/2026_UTK_by_UTMB_100km_RACE_ALIGNMENT_09072026_f15f109e5d.gpx
ultra-trail-kosciuszko-by-utmb,50K,50.0,1400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1783556404/kosciuszko/Races/2026%20Race%20Alignment%20GPX/2026_UTK_by_UTMB_50km_RACE_ALIGNMENT_09072026_a8765fcd51.gpx
ultra-trail-kosciuszko-by-utmb,32K,32.0,670,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1783557248/kosciuszko/Races/2026%20Race%20Alignment%20GPX/2026_UTK_by_UTMB_30km_RACE_ALINGMENT_09072026_44163a3c0b.gpx
hoka-chiang-mai-thailand-by-utmb,173K,173.0,9800,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782288165/thailand/GPX/2026/Chiang_Mai_Chiang_Dao_173k_9900_2206_2f1dab9569.gpx
hoka-chiang-mai-thailand-by-utmb,100K,100.0,5500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782288163/thailand/GPX/2026/Chiang_Mai_Elephant_100k_5500_2206_cdfde7b1c2.gpx
hoka-chiang-mai-thailand-by-utmb,63K,63.0,3000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782288161/thailand/GPX/2026/Chiang_Mai_Hmong_63k_2900_2206_c1fabce471.gpx
hoka-chiang-mai-thailand-by-utmb,57K,57.0,3600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782288158/thailand/GPX/2026/Chiang_Mai_Pagoda_57k_3600_2206_c433448f35.gpx
hoka-chiang-mai-thailand-by-utmb,26K,26.0,1100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782288158/thailand/GPX/2026/Chiang_Mai_Suthep_26k_1100_2206_7e4cbbca2f.gpx
hoka-chiang-mai-thailand-by-utmb,20K,20.0,800,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782288157/thailand/GPX/2026/Chiang_Mai_Inthanon_20k_800_2206_8b621cb3ba.gpx
hoka-chiang-mai-thailand-by-utmb,17K,17.0,700,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782288157/thailand/GPX/2026/Chiang_Mai_Chedi_17k_700_2206_f68a13b4b2.gpx
hoka-chiang-mai-thailand-by-utmb,5K,5.0,240,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1762924684/thailand/GPX/2025/WUR_Inthanon_Stations_5d0c49860f.gpx
hoka-chiang-mai-thailand-by-utmb,3K,3.0,100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1762924684/thailand/GPX/2025/WUR_PAO_Park_Stations_0a9783b0d3.gpx
kar-spor-ida-ultra,İda Ultra,105,4113,4,,,https://media.dalamanhalfmarathon.com/media/uploads/105K%20%C4%B0da%20Ultra.gpx
kar-spor-ida-ultra,Hades,66,2450,3,,,https://media.dalamanhalfmarathon.com/media/uploads/66K%20Hades.gpx
kar-spor-ida-ultra,Zeus,44,1560,2,,,https://media.dalamanhalfmarathon.com/media/uploads/44K%20Zeus.gpx
kar-spor-ida-ultra,Poseidon,29,,,,,https://media.dalamanhalfmarathon.com/media/uploads/29K%20Poseidon.gpx
geyik-kosulari,28K,28.0,,,600.0,TRY,
geyik-kosulari,14K,14.0,,,600.0,TRY,
geyik-kosulari,8K,8.0,,,600.0,TRY,
geyik-kosulari,6K,6.0,,,,,
geyik-kosulari,4K,4.0,,,600.0,TRY,
st-nicholas-half-marathon,21K,21.0,,,,,
st-nicholas-half-marathon,12K,12.0,,,,,
st-nicholas-half-marathon,5K,5.0,,,,,
valencia-maratonu,42K,42.0,,,,,
oman-by-utmb,154K,154.0,8000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788856897/oman/Races/GPX%20Files/100_M_2026_GPX_5245f320b3.gpx
oman-by-utmb,103K,103.0,5000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788856890/oman/Races/GPX%20Files/100_K_2026_GPX_74f704cf8f.gpx
oman-by-utmb,50K,50.0,2400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788856891/oman/Races/GPX%20Files/50_K_2026_GPX_a39986b4ea.gpx
oman-by-utmb,32K,32.0,1400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788856891/oman/Races/GPX%20Files/30_K_2026_GPX_039fb78565.gpx
oman-by-utmb,21.5K,21.5,550,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788856889/oman/Races/GPX%20Files/20_K_2026_GPX_676d1cb7a6.gpx
uluslararasi-mersin-maratonu,42K,42.0,,,,,
antalya-ultra,85K,85.0,,,55.0,EUR,
antalya-ultra,57K,57.0,2714,,130.0,EUR,https://www.antalyaultra.org/wp-content/uploads/2026/04/57K.gpx
antalya-ultra,33K,33.0,1247,,100.0,EUR,https://www.antalyaultra.org/wp-content/uploads/2026/04/Antalya-Ultra-maratonu-Antalya-Geyikbayiri-Trail-33K.gpx
antalya-ultra,22K,22.0,316,,90.0,EUR,https://www.antalyaultra.org/wp-content/uploads/2026/04/Antalya-Ultra-Maratonu-Antalya-Trail-22K-1.gpx
antalya-ultra,12K,12.0,,,60.0,EUR,https://www.antalyaultra.org/wp-content/uploads/2026/04/Antalya-Ultra-Maratonu-Konyaalti-Race-12K.gpx
antalya-ultra,5K,5.0,,,55.0,EUR,https://www.antalyaultra.org/wp-content/uploads/2026/04/Antalya-Ultra-maratonu-Konyaalti-Short-Race-5K-1.gpx
buyuk-ataturk-kosusu,10K,10.0,,,500.0,TRY,
vietnam-highlands-trail-by-utmb,104.2K,104.2,5533,,231.0,USD,https://res.cloudinary.com/utmb-world/raw/upload/v1777864023/vietnamhighlands/GPX/100_UTMB_2403_1_8766e7c778.gpx
vietnam-highlands-trail-by-utmb,56.4K,56.4,2946,,130.9,USD,https://res.cloudinary.com/utmb-world/raw/upload/v1777864020/vietnamhighlands/GPX/50_UTMB_2403_1_df22f11ce2.gpx
vietnam-highlands-trail-by-utmb,24.1K,24.1,1113,,94.6,USD,https://res.cloudinary.com/utmb-world/raw/upload/v1777383189/vietnamhighlands/Races/GPS%20FIles%202026/20k_f50a2a194c.gpx
vietnam-highlands-trail-by-utmb,11.3K,11.3,486,,71.5,USD,https://res.cloudinary.com/utmb-world/raw/upload/v1777383185/vietnamhighlands/Races/GPS%20FIles%202026/10k_15aa6dd47c.gpx
arc-of-attrition-by-utmb,173K,173.0,5507,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782991552/arcofattrition/Races/2027%20GPX%20files%20-%20July/AOA_2027_Arc_100_M_v3_425d91b7fb.gpx
arc-of-attrition-by-utmb,82.7K,82.7,2708,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782991549/arcofattrition/Races/2027%20GPX%20files%20-%20July/AOA_2027_Arc_100_K_v2_1246f09b0b.gpx
arc-of-attrition-by-utmb,49.4K,49.4,1458,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782991549/arcofattrition/Races/2027%20GPX%20files%20-%20July/AOA_2027_Arc_50_K_v4_8902b11958.gpx
arc-of-attrition-by-utmb,22.1K,22.1,744,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782991548/arcofattrition/Races/2027%20GPX%20files%20-%20July/AOA_2027_Arc_20_K_v5_92f9610d2e.gpx
tarawera-ultra-trail-by-utmb,163K,163.0,3800,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1769550545/tarawera/Races/2026_Tarawera_Ultra_Trail_160km_V5_52f24e574e.gpx
tarawera-ultra-trail-by-utmb,102K,102.0,2300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1769551549/tarawera/Races/2026_Tarawera_Ultra_Trail_102km_V6_5835fdbbe0.gpx
tarawera-ultra-trail-by-utmb,52K,52.0,1150,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1737668995/tarawera/Races/2025_Tarawera_Ultra_Trail_50km_v4_1acbe37c06.gpx
tarawera-ultra-trail-by-utmb,23K,23.0,400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1737671119/tarawera/Races/2025_Tarawera_Ultra_Trail_21km_v3_0b9893faaa.gpx
tarawera-ultra-trail-by-utmb,14K,14.0,161,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1750648967/tarawera/Races/2026_Tarawera_Ultra_Trail_14km_v2_534c7791ce.gpx
puerto-vallarta-by-utmb,81K,81.0,3900,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776006096/puerto-vallarta/PV_80k_3900_1204_0c3ee3772a.gpx
puerto-vallarta-by-utmb,53K,53.0,2500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1772218201/puerto-vallarta/PV_53k_2500_b2ae203dca.gpx
puerto-vallarta-by-utmb,37K,37.0,1600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1753746928/puerto-vallarta/GPX/puerto_vallarta_37k_1600_2026_1cec7ed914.gpx
puerto-vallarta-by-utmb,20K,20.0,1050,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1772493604/puerto-vallarta/PV_20k_1050_0ece807fac.gpx
puerto-vallarta-by-utmb,5K,5.0,200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1753748461/puerto-vallarta/GPX/puerto_vallarta_5k_200_2026_ba1641f401.gpx
xtrail-by-utmb,98K,98.0,3291,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1779934971/xtrail/2027%20%E5%BB%BA%E7%BD%AE/GPX/%E7%B8%BD%E9%83%A8%E6%8F%90%E4%BE%9B/Kenting_98k_3300_2605_2ebd00856a.gpx
xtrail-by-utmb,50K,50.0,1496,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1779934969/xtrail/2027%20%E5%BB%BA%E7%BD%AE/GPX/%E7%B8%BD%E9%83%A8%E6%8F%90%E4%BE%9B/Kenting_51k_1500_2605_d3096953a5.gpx
xtrail-by-utmb,26K,26.0,589,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1779934966/xtrail/2027%20%E5%BB%BA%E7%BD%AE/GPX/%E7%B8%BD%E9%83%A8%E6%8F%90%E4%BE%9B/Kenting_26k_600_2605_4a7645b980.gpx
xtrail-by-utmb,11K,11.0,201,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1779934965/xtrail/2027%20%E5%BB%BA%E7%BD%AE/GPX/%E7%B8%BD%E9%83%A8%E6%8F%90%E4%BE%9B/Kenting_11k_300_2605_0553286663.gpx
xtrail-by-utmb,2K,2.0,10,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782460067/xtrail/2027%20%E5%BB%BA%E7%BD%AE/GPX/Xtrail_2_K_2_Kids_ba5ed259dd.gpx
tokyo-maratonu,42K,42.0,,,,,
chianti-ultra-trail-by-utmb,123K,123.0,5200,,,,
chianti-ultra-trail-by-utmb,73K,73.0,3000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777382308/chianti/Races/gpx%20files/2027/CUT_73_K_2027_a4e001e60a.gpx
chianti-ultra-trail-by-utmb,46K,46.0,1650,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777382306/chianti/Races/gpx%20files/2027/CMT_46_K_2027_08117c4b23.gpx
chianti-ultra-trail-by-utmb,20K,20.0,920,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777382304/chianti/Races/gpx%20files/2027/CHT_20_K_2027_5ead6459d8.gpx
